Età,Sesso biologico,Dipartimento di afferenza,Credi che questa immagine sia stata generata da IA o che sia reale?,Hai avuto dubbi sulla veridicità dell'immagine?,"Un algoritmo ti suggerisce che, al 76%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.1,Hai avuto dubbi sulla veridicità dell'immagine?.1,"Un algoritmo ti suggerisce che, al 44%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.2,Hai avuto dubbi sulla veridicità dell'immagine?.2,"Un algoritmo ti suggerisce che, allo 0%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.3,Hai avuto dubbi sulla veridicità dell'immagine?.3,"Un algoritmo ti suggerisce che, al 42%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.4,Hai avuto dubbi sulla veridicità dell'immagine?.4,"Un algoritmo ti suggerisce che, al 98%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.5,Hai avuto dubbi sulla veridicità dell'immagine?.5,"Un algoritmo ti suggerisce che, al 4%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.6,Hai avuto dubbi sulla veridicità dell'immagine?.6,"Un algoritmo ti suggerisce che, al 64%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.7,Hai avuto dubbi sulla veridicità dell'immagine?.7,"Un algoritmo ti suggerisce che, al 84%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.8,Hai avuto dubbi sulla veridicità dell'immagine?.8,"Un algoritmo ti suggerisce che, al 72%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.9,Hai avuto dubbi sulla veridicità dell'immagine?.9,"Un algoritmo ti suggerisce che, allo 0%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?.1",Credi che questa immagine sia stata generata da IA o che sia reale?.10,Hai avuto dubbi sulla veridicità dell'immagine?.10,"Un algoritmo ti suggerisce che, al 95%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.11,Hai avuto dubbi sulla veridicità dell'immagine?.11,"Un algoritmo ti suggerisce che, al 5%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.12,Hai avuto dubbi sulla veridicità dell'immagine?.12,"Un algoritmo ti suggerisce che, all'80%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?",Credi che questa immagine sia stata generata da IA o che sia reale?.13,Hai avuto dubbi sulla veridicità dell'immagine?.13,"Un algoritmo ti suggerisce che, allo 0%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?.2",Credi che questa immagine sia stata generata da IA o che sia reale?.14,Hai avuto dubbi sulla veridicità dell'immagine?.14,"Un algoritmo ti suggerisce che, al 97%, l'immagine precedente sia stata generata da IA. Confermi la tua scelta?"
23 o più,Male,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Generata da IA,Sì,"No, cambio la mia scelta",Reale,Sì,"No, cambio la mia scelta",Reale,Sì,"No, cambio la mia scelta",Generata da IA,Sì,"Sì, confermo",Generata da IA,No,"No, cambio la mia scelta",Generata da IA,No,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"No, cambio la mia scelta",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"No, cambio la mia scelta",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo"
22,Male,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo"
23 o più,Male,Professioni Sanitarie,Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"No, cambio la mia scelta",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"No, cambio la mia scelta",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,Sì,"Sì, confermo",Reale,No,"Sì, confermo"
23 o più,Male,Professioni Sanitarie,Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,Sì,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo"
22,Female,Professioni Sanitarie,Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo"
23 o più,Male,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"No, cambio la mia scelta",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo"
23 o più,Male,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo"
23 o più,Male,Professioni Sanitarie,Generata da IA,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo"
23 o più,Female,Professioni Sanitarie,Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo"
20,Female,Economia aziendale ,Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo"
20,Female,Economia Aziendale,Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo"
22,Female,economia e impresa ,Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo"
21,Female,DMI,Reale,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"No, cambio la mia scelta"
23 o più,Male,Dipartimento di Scienze Politiche e Socali ,Generata da IA,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo"
22,Male,DiSFor,Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"No, cambio la mia scelta",Reale,No,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Generata da IA,Sì,"Sì, confermo",Reale,No,"Sì, confermo",Reale,No,"Sì, confermo"
